0.000	1	1
0.852	3	1
0.973	2	1
0.998	2	2
1.001	1	2
1.023	2	3
1.048	2	4
1.066	3	2
1.073	2	5
1.098	2	6
1.123	2	7
1.148	2	8
1.173	2	9
1.198	2	10
1.201	1	3
1.223	2	11
1.248	2	12
1.273	2	13
1.279	3	3
1.298	2	14
1.323	2	15
1.348	2	16
1.373	2	17
1.398	2	18
1.401	1	4
1.423	2	19
1.448	2	20
1.473	2	21
1.493	3	4
1.498	2	22
1.523	2	23
1.548	2	24
1.573	2	25
1.598	2	26
1.601	1	5
1.623	2	27
1.648	2	28
1.673	2	29
1.698	2	30
1.706	3	5
1.723	2	31
1.748	2	32
1.773	2	33
1.798	2	34
1.801	1	6
1.823	2	35
1.848	2	36
1.873	2	37
1.898	2	38
1.920	3	6
1.923	2	39
1.948	2	40
1.973	2	41
1.998	2	42
2.002	1	7
2.023	2	43
2.048	2	44
2.073	2	45
2.098	2	46
2.123	2	47
2.133	3	7
2.148	2	48
2.173	2	49
2.198	2	50
2.202	1	8
2.223	2	51
2.248	2	52
2.273	2	53
2.298	2	54
2.323	2	55
2.347	3	8
2.348	2	56
2.373	2	57
2.398	2	58
2.402	1	9
2.423	2	59
2.448	2	60
2.473	2	61
2.498	2	62
2.523	2	63
2.548	2	64
2.561	3	9
2.573	2	65
2.598	2	66
2.602	1	10
2.623	2	67
2.648	2	68
2.673	2	69
2.698	2	70
2.723	2	71
2.748	2	72
2.773	2	73
2.775	3	10
2.798	2	74
2.802	1	11
2.823	2	75
2.848	2	76
2.873	2	77
2.898	2	78
2.923	2	79
2.948	2	80
2.973	2	81
2.988	3	11
2.998	2	82
3.003	1	12
3.023	2	83
3.048	2	84
3.073	2	85
3.098	2	86
3.123	2	87
3.148	2	88
3.173	2	89
3.198	2	90
3.202	3	12
3.203	1	13
3.223	2	91
3.248	2	92
3.273	2	93
3.298	2	94
3.323	2	95
3.348	2	96
3.373	2	97
3.398	2	98
3.403	1	14
3.415	3	13
3.423	2	99
3.448	2	100
3.473	2	101
3.498	2	102
3.523	2	103
3.548	2	104
3.573	2	105
3.598	2	106
3.603	1	15
3.623	2	107
3.629	3	14
3.648	2	108
3.673	2	109
3.698	2	110
3.723	2	111
3.748	2	112
3.773	2	113
3.798	2	114
3.803	1	16
3.823	2	115
3.842	3	15
3.848	2	116
3.873	2	117
3.898	2	118
3.923	2	119
3.948	2	120
3.973	2	121
3.998	2	122
4.004	1	17
4.023	2	123
4.048	2	124
4.056	3	16
4.073	2	125
4.098	2	126
4.123	2	127
4.148	2	128
4.173	2	129
4.198	2	130
4.204	1	18
4.223	2	131
4.248	2	132
4.270	3	17
4.273	2	133
4.298	2	134
4.323	2	135
4.348	2	136
4.373	2	137
4.398	2	138
4.404	1	19
4.423	2	139
4.448	2	140
4.473	2	141
4.484	3	18
4.498	2	142
4.523	2	143
4.548	2	144
4.573	2	145
4.598	2	146
4.604	1	20
4.623	2	147
4.648	2	148
4.673	2	149
4.698	2	150
4.698	3	19
4.723	2	151
4.748	2	152
4.773	2	153
4.798	2	154
4.804	1	21
4.823	2	155
4.848	2	156
4.873	2	157
4.898	2	158
4.911	3	20
4.923	2	159
4.948	2	160
4.973	2	161
4.998	2	162
5.005	1	22
5.023	2	163
5.048	2	164
