     0.973      0.000    -0.0035
     0.998      0.000    -0.0042
     1.023      0.000    -0.0042
     1.048      0.000    -0.0042
     1.073      0.000    -0.0042
     1.098      0.000    -0.0046
     1.123      0.000    -0.0046
     1.148      0.000    -0.0039
     1.173      0.000    -0.0035
     1.198      0.000    -0.0046
     1.223      0.000    -0.0039
     1.248      0.000    -0.0039
     1.273      0.000    -0.0042
     1.298      0.000    -0.0039
     1.323      0.000    -0.0042
     1.348      0.000    -0.0039
     1.373      0.000    -0.0031
     1.398      0.000    -0.0039
     1.423      0.000    -0.0039
     1.448      0.000    -0.0039
     1.473      0.000    -0.0039
     1.498      0.000    -0.0039
     1.523      0.000    -0.0042
     1.548      0.000    -0.0039
     1.573      0.000    -0.0050
     1.598      0.000    -0.0039
     1.623      0.000    -0.0039
     1.648      0.000    -0.0042
     1.673      0.000    -0.0042
     1.698      0.000    -0.0039
     1.723      0.000    -0.0050
     1.748      0.000    -0.0035
     1.773      0.000    -0.0046
     1.798      0.000    -0.0046
     1.823      0.000    -0.0039
     1.848      0.000    -0.0042
     1.873      0.000    -0.0050
     1.898      0.000    -0.0042
     1.923      0.000    -0.0046
     1.948      0.000    -0.0042
     1.973      0.000    -0.0039
     1.998      0.000    -0.0031
     2.023      0.000    -0.0039
     2.048      0.000    -0.0035
     2.073      0.000    -0.0042
     2.098      0.000    -0.0054
     2.123      0.000    -0.0039
     2.148      0.000    -0.0042
     2.173      0.000    -0.0039
     2.198      0.000    -0.0039
     2.223      0.000    -0.0035
     2.248      0.000    -0.0039
     2.273      0.000    -0.0039
     2.298      0.000    -0.0050
     2.323      0.000    -0.0046
     2.348      0.000    -0.0042
     2.373      0.000    -0.0046
     2.398      0.000    -0.0035
     2.423      0.000    -0.0046
     2.448      0.000    -0.0046
     2.473      0.000    -0.0035
     2.498      0.000    -0.0035
     2.523      0.000    -0.0042
     2.548      0.000    -0.0042
     2.573      0.000    -0.0042
     2.598      0.000    -0.0046
     2.623      0.000    -0.0042
     2.648      0.000    -0.0035
     2.673      0.000    -0.0035
     2.698      0.000    -0.0035
     2.723      0.000    -0.0035
     2.748      0.000    -0.0027
     2.773      0.000    -0.0027
     2.798      0.000    -0.0039
     2.823      0.000    -0.0046
     2.848      0.000    -0.0039
     2.873      0.000    -0.0058
     2.898      0.000    -0.0035
     2.923      0.000    -0.0042
     2.948      0.000    -0.0046
     2.973      0.000    -0.0039
     2.998      0.000    -0.0039
     3.023      0.000    -0.0061
     3.048      0.000    -0.0039
     3.073      0.000    -0.0035
     3.098      0.000    -0.0039
     3.123      0.000    -0.0042
     3.148      0.000    -0.0042
     3.173      0.000    -0.0042
     3.198      0.000    -0.0042
     3.223      0.000    -0.0046
     3.248      0.000    -0.0039
     3.273      0.020    -0.0042
     3.298      0.000    -0.0039
     3.323      0.000    -0.0046
     3.348      0.000    -0.0042
     3.373      0.000    -0.0039
     3.398      0.020    -0.0046
     3.423      0.000    -0.0039
     3.448      0.020    -0.0035
     3.473      0.000    -0.0039
     3.498      0.020    -0.0042
     3.523      0.020    -0.0039
     3.548      0.020    -0.0046
     3.573      0.039    -0.0027
     3.598      0.039    -0.0042
     3.623      0.039    -0.0039
     3.648      0.079    -0.0039
     3.673      0.079    -0.0042
     3.698      0.099    -0.0058
     3.723      0.138    -0.0035
     3.748      0.138    -0.0061
     3.773      0.158    -0.0035
     3.798      0.178    -0.0042
     3.823      0.197    -0.0042
     3.848      0.197    -0.0035
     3.873      0.237    -0.0031
     3.898      0.256    -0.0035
     3.923      0.256    -0.0035
