     0.852   20.46202    0.88575    0.35404
     0.852   29.59859    1.02102    0.25717
     0.852   28.68462    1.27409    0.24923
     0.852   12.74537    1.35263    0.11074
     0.852   23.96735    1.48789    0.41469
     0.852   24.59350    1.81078    0.84701
     0.852   12.68386    1.90677    0.43773
     0.852    3.13945    2.81434    0.10891
     1.066   20.46706    0.88575    0.35413
     1.066   29.60863    1.02102    0.25726
     1.066   28.69466    1.27409    0.24932
     1.066   12.74537    1.35263    0.11074
     1.066   23.96735    1.48789    0.41469
     1.066   24.58824    1.81078    0.84648
     1.066   12.68404    1.90677    0.43808
     1.066    3.13454    2.81434    0.10908
     1.279   20.46706    0.88575    0.35413
     1.279   29.59859    1.02102    0.25717
     1.279   48.90245    1.09956    0.42490
     1.279   28.70470    1.27409    0.24941
     1.279   12.74537    1.35263    0.11074
     1.279   23.96230    1.48789    0.41460
     1.279   24.59324    1.81078    0.84648
     1.279   12.68395    1.90677    0.43790
     1.279    3.13954    2.81434    0.10908
     1.493   20.46706    0.88575    0.35413
     1.493   29.60863    1.02102    0.25726
     1.493   28.69466    1.27409    0.24932
     1.493   12.73533    1.35263    0.11065
     1.493   23.97239    1.48789    0.41478
     1.493   24.57842    1.81078    0.84683
     1.493   12.68404    1.90677    0.43808
     1.493    3.14445    2.81434    0.10891
     1.706   20.47211    0.88575    0.35421
     1.706   29.60863    1.02102    0.25726
     1.706   28.68462    1.27409    0.24923
     1.706   12.74537    1.35263    0.11074
     1.706   23.96230    1.48789    0.41460
     1.706   24.58342    1.81078    0.84683
     1.706   12.68413    1.90677    0.43825
     1.706    3.14463    2.81434    0.10926
     1.920   20.46706    0.88575    0.35413
     1.920   29.59859    1.02102    0.25717
     1.920   28.69466    1.27409    0.24932
     1.920   12.74537    1.35263    0.11074
     1.920   23.96735    1.48789    0.41469
     1.920   24.58342    1.81078    0.84683
     1.920   12.68413    1.90677    0.43825
     1.920    3.13445    2.81434    0.10891
     2.133   20.46706    0.88575    0.35413
     2.133   29.59859    1.02102    0.25717
     2.133   28.70470    1.27409    0.24941
     2.133   12.75541    1.35263    0.11083
     2.133   23.96230    1.48789    0.41460
     2.133   24.59324    1.81078    0.84648
     2.133   12.68895    1.90677    0.43790
     2.133    3.13954    2.81434    0.10908
     2.347   20.46706    0.88575    0.35413
     2.347   29.60863    1.02102    0.25726
     2.347   28.86471    1.26973    0.49943
     2.347   12.74537    1.35263    0.11074
     2.347   23.96230    1.48789    0.41460
     2.347   24.59850    1.81078    0.84701
     2.347   12.68404    1.90677    0.43808
     2.347    3.14454    2.81434    0.10908
     2.561   20.47211    0.88575    0.35421
     2.561   29.59859    1.02102    0.25717
     2.561   28.68462    1.27409    0.24923
     2.561   12.74537    1.35263    0.11074
     2.561   23.96735    1.48789    0.41469
     2.561   24.59333    1.81078    0.84666
     2.561   12.68904    1.90677    0.43808
     2.561    3.14454    2.81434    0.10908
     2.775   20.47715    0.88575    0.35430
     2.775   29.60863    1.02102    0.25726
     2.775   28.70470    1.27409    0.24941
     2.775   12.74537    1.35263    0.11074
     2.775   23.96735    1.48789    0.41469
     2.775   24.58833    1.81078    0.84666
     2.775   12.68395    1.90677    0.43790
     2.775    3.14463    2.81434    0.10926
     2.988   20.47715    0.88575    0.35430
     2.988   29.59859    1.02102    0.25717
     2.988   28.69466    1.27409    0.24932
     2.988   12.74537    1.35263    0.11074
     2.988   23.97743    1.48789    0.41486
     2.988   24.59342    1.81078    0.84683
     2.988   12.69404    1.90677    0.43808
     2.988    3.13954    2.81434    0.10908
     3.202   20.47715    0.88575    0.35430
     3.202   29.59859    1.02102    0.25717
     3.202   48.91249    1.09956    0.42499
     3.202   28.70470    1.27409    0.24941
     3.202   12.75541    1.35263    0.11083
     3.202   23.97239    1.48789    0.41478
     3.202   24.58859    1.81078    0.84718
     3.202   12.67904    1.90677    0.43808
     3.202    3.13954    2.81434    0.10908
     3.415   20.48219    0.88575    0.35439
     3.415   29.59859    1.02102    0.25717
     3.415   48.91249    1.09956    0.42499
     3.415   28.69466    1.27409    0.24932
     3.415   12.74537    1.35263    0.11074
     3.415   23.96230    1.48789    0.41460
     3.415   24.58324    1.81078    0.84648
     3.415   12.68413    1.90677    0.43825
     3.415    3.13463    2.81434    0.10926
     3.629   20.47211    0.88575    0.35421
     3.629   29.60863    1.02102    0.25726
     3.629   28.87984    1.26973    0.49969
     3.629   12.73533    1.35263    0.11065
     3.629   23.96735    1.48789    0.41469
     3.629   24.49678    1.81514    0.63355
     3.629   12.68395    1.90677    0.43790
     3.629    3.13045    2.81871    0.08090
     3.842   20.45193    0.88575    0.35387
     3.842   29.60863    1.02102    0.25726
     3.842    8.65510    1.13010    0.30020
     3.842   28.67457    1.27409    0.24915
     3.842   12.72528    1.35263    0.11057
     3.842   23.94717    1.48789    0.41434
